0,label,predict,0,1,2
 usah peduli ppkm                                    ,0,1,0.2717,0.458,0.2703
india lockdown minggu kasus turun  kemarin indonesia ppkm                               ,0,1,0.3551,0.4723,0.1726
ppkm kah ber operasional untuk perpanjangan pajak tahunan                                ,1,0,0.5625,0.3477,0.0898
ppkm berat naik jadi kg serasa kelas lightweight ufc bismillah mukul mcgregor                            ,1,0,0.8884,0.0813,0.0302
pak ppkm mohon dipertimbangkan terkait transportasi untuk kerja luar kota kereta lokal ditutup penumpang lari bis bis ekonomi umum prokes kurang menurut armada jalan                ,1,0,0.9181,0.0471,0.0348
pagi pagi overthinking ppkm bakal diperpanjang                                  ,0,1,0.2416,0.6692,0.0892
ppkm ketat ndan                                     ,1,2,0.124,0.4009,0.4752
kayaknya bebas tanya ppkm larangan untuk orang nongkrong  jam                              ,0,1,0.2786,0.5544,0.167
 gasemua tahu kakak perempuan enak sih bosan banget udah libur  bulan terus  ppkm                        ,0,1,0.3566,0.3631,0.2803
ppkm tidak bisa peluk pelukan                                   ,0,1,0.0238,0.9643,0.012
soalnya ppkm terus  nya udah jarang kna polusi                               ,1,0,0.4729,0.2777,0.2494
tidak apa apa terusin ppkm kreatif                                  ,2,1,0.1155,0.7905,0.094
yaampun senin udah selesai ppkm iya                                  ,1,0,0.4281,0.4077,0.1642
  ppkm berangkat kepentingan pribadi orang abang                                ,1,0,0.4179,0.3824,0.1997
ppkm darurat ngefek                                     ,0,1,0.4137,0.4705,0.1158
permisi tanya misal handphone  deh penuh deh tidak ada dihapus laptop dukung deh tua suka  tidak bisa minjem handphone orang tua deh  ppkm tidak bisa minjem  teman terus tetap gaboleh meminta tolong teman berarti  ,1,0,0.9086,0.0405,0.0509
 aturan ppkm  tetap lonjakan virus varian ganti aturan tingkatkan imun iman rumah ibadah penutupan virus varian berkelanjutan                     ,0,2,0.2049,0.1271,0.668
dewasa  kalimat ppkm diperpanjang                                   ,1,0,0.4934,0.3915,0.1151
sekian jokes akronim ppkm nyata                                   ,1,0,0.8385,0.12,0.0414
an menyebalkan waktu ppkm tengilnya pas demo sih anak an nikah sibuk urus keluarga                          ,1,0,0.7611,0.1772,0.0616
peristiwa terjadi kemarin atlet indonesia meraih emas   presiden  ppkm diperpanjang satu sisi terus berjuang bertahan hidup ditengah kondisi sulit                  ,1,0,0.8866,0.0618,0.0516
teman cikampek vaksin ktp dki dki susah ppkm darurat                               ,0,1,0.3722,0.4933,0.1346
teman nekat iya nikah pas ppkm akad doang iya tidak apa apa resepsinya undang takut banget datengnya anjay                      ,0,1,0.3586,0.4763,0.1651
kegiatan ppkm kerja kerja kerja swab muter terus kelar kelar                              ,1,0,0.7442,0.1692,0.0866
menyesal baru  pas anak umur setahun keatas ppkm jarang vaksin drive thru  pihak rs sekalinya jauh                      ,0,1,0.0712,0.8794,0.0494
ppkm mencoba waras                                     ,1,0,0.8109,0.1323,0.0568
ppkm kelar                                      ,0,1,0.2487,0.6583,0.0929
iya coba deh etapi ppkm enggak tau mr daerah istimewa yogyakarta buka                            ,1,0,0.4139,0.3957,0.1905
semenjak sicepat jnt jadi iya efek ppkm iya                                ,1,0,0.8858,0.0823,0.0318
faktor ppkm                                      ,1,0,0.5279,0.3223,0.1498
guis ppkm warung kopi buka ya pengen banget makan burketem                              ,1,0,0.7118,0.1885,0.0996
 ppkm                                      ,0,1,0.2063,0.6576,0.1361
masalahnya kuartal ppkm banget yakin bakal sebagus kuartal iya semoga sektor jadi                            ,1,0,0.942,0.043,0.015
  ppkm level bertambah episode terus tukang haji naik bubur                             ,0,1,0.2397,0.6036,0.1568
ppkm lebih baik drmh                                    ,1,2,0.0993,0.2497,0.6511
negara luar melakukan ppkm wni                                   ,1,2,0.4036,0.1653,0.431
ppkm diperpanjang isi otaknya                                    ,0,1,0.3696,0.5286,0.1018
ppkm level  diisi film level aneh                                 ,1,0,0.4758,0.2598,0.2644
 rumah main ppkm                                    ,0,1,0.2693,0.5764,0.1543
selamat pagi ppkm gumoh                                    ,0,1,0.1907,0.5861,0.2232
awali weekend ppkm                                     ,1,0,0.403,0.2553,0.3417
ppkm ngopi teras                                     ,1,0,0.6786,0.2297,0.0917
jadi menjerit ppkm terus faktor  lockdown                                 ,1,0,0.9939,0.0051,0.001
ppkm mall                                      ,0,1,0.0658,0.8918,0.0424
mengerti biarkan satgas covid jadi tegas soroti terjadi iya antisipasi turunkan ppkm levelnya baru kegiatan longgarkan  pelaku usaha                     ,0,2,0.045,0.056,0.8991
 iseng abang bawa mobil pagi buta keluar pas ppkm                              ,1,0,0.5156,0.3747,0.1097
khofifah berpesan masyarakat memiliki kepentingan untuk senantiasa rumah ppkm darurat                              ,1,2,0.0265,0.0529,0.9206
 orang gak mengerti agama cobaan ngeluh depresi stre  maki sebagai berikut kurangnya sifat tawakal berserah kurangnya  khawatir makan ppkm lupa mengatur rezeki sang              ,2,0,0.9957,0.0033,0.0009
bansos ppkm                                      ,1,2,0.1675,0.2868,0.5458
me   ppkm jawa bali                                  ,0,1,0.1013,0.8258,0.0729
ppkm                                       ,0,1,0.2063,0.6576,0.1361
ppkm                                       ,0,1,0.2063,0.6576,0.1361
ppkm naik ojol sih                                    ,1,0,0.4684,0.4179,0.1138
ppkm putar puter ketolak melulu hadapi bapak sakit mencari rs akhir nya apak meninggal perjalanan semoga bijak rs menangani pasien sdng kritis sekedar menolak tangani               ,0,2,0.0953,0.1199,0.7848
gara corona ppkm merasa  introve                                  ,1,0,0.9045,0.0671,0.0284
update hari senin pertama ppkm darurat busway sepi                                ,1,2,0.2216,0.2418,0.5367
bisanya ppkm berkunjung rumah haters  polisi aneh                                ,0,1,0.4053,0.447,0.1477
saran hero pusreg ppkm ml dota                                  ,1,0,0.7929,0.128,0.0791
sedang apa iya hari kataku diriku ppkm                                 ,1,0,0.7993,0.1414,0.0594
 mengira ppkm ternyata status                                   ,1,0,0.5503,0.3075,0.1422
selamat pagi sahabat selamat aktifitas ppkm bernafas bebas dipinggir sungai                              ,1,2,0.3085,0.3145,0.377
ppkm jadi dokter ekonom dadakan                                   ,1,0,0.8837,0.0837,0.0326
gara gara ppkm sibuk                                    ,1,0,0.5807,0.3081,0.1112
rencana main ee ppkm                                    ,0,1,0.3074,0.559,0.1336
loh bukanya ppkm  tanggal agustus pak  terus gimana  nya untuk luar dki                         ,0,1,0.5237,0.3497,0.1266
baru kali belanja onlen dikirimnya  aduh ppkm                                ,0,1,0.026,0.9609,0.0131
plis tiba tiba menangis kangen almarhum  huaa makam ppkm plis                             ,0,1,0.1305,0.8046,0.0648
menunggu ppkm selesai banget kesini                                   ,1,0,0.5594,0.2922,0.1484
bertemakan mental kuat ppkm darurat                                   ,1,0,0.5363,0.1786,0.2851
ppkm nikmat                                      ,2,0,0.5794,0.3134,0.1071
efek ppkm pandemi iya disana ramai pusat seni                                ,1,0,0.6262,0.2999,0.0739
pemerintah getol ppkm rakyatnya getol cari makan sehari hari                               ,1,0,0.9747,0.0183,0.007
sarapan bong sarapan gih pura pura bahagia perih kayak perut kena ppkm                            ,0,1,0.3106,0.3967,0.2927
wal taman  masuknya bayar kah buka musim ppkm  taman nya                            ,1,0,0.6787,0.2378,0.0835
besok bakal diskon an iya ppkm  memakai lambang win                              ,1,0,0.5527,0.322,0.1253
 menjaga jarak ppkm wkwkwk                                   ,0,1,0.1096,0.7758,0.1146
endut gampang naik susah turun kayak mengharap mengharap taunya ppkm pergi pagi kembali                           ,1,0,0.6254,0.242,0.1326
acara nikahan  kak maaf iya gak diundang ppkm                               ,1,0,0.842,0.1067,0.0513
main iseng gara gara ppkm meminta maaf mahfud                                ,1,0,0.7832,0.1588,0.058
kang kakak perempuan ppkm jadi gak beroperasi odong pakai gojek gerbang atas                            ,0,1,0.2365,0.6949,0.0686
politisi hitam biarpun putih kulitnya gemuk badannya amp biru bajunya jelas negarawan covid pandemi ppkm vaksinasi prokes solusi menghasut untuk menurunkan sih pembuat kebijakan pandemi diatasi politisasi             ,2,0,0.6887,0.0888,0.2225
langkah maju ppkm                                     ,0,2,0.0049,0.0095,0.9856
seumpama menang kira prabowo  dihadapkan pandemi sigap  fokus iya lamban ppkm berjilid minggu perpanjangan                        ,0,2,0.3518,0.2844,0.3639
bisanya eropa dibilang berdamai covid disana ikhtiarnya tinggi prokes terus angka vaksinasinya terbebas lockdown psbb ppkm                        ,2,0,0.7047,0.1826,0.1127
orang benar kayak orang baru kayak pamer nyumbang total kekayaan ppkm bakal berasa dampaknya rakyat menengah bawah bulan ppkm masalah asal taat aturan semoga bermanfaat               ,2,0,0.8113,0.1054,0.0834
papa sih kasus masa ppkm diberhentiin                                  ,2,1,0.0725,0.8758,0.0517
warung kopi setan kredit masa ppkm                                  ,1,0,0.8961,0.0738,0.0301
ppkm diperpanjang redaksi  comeback                                   ,1,0,0.8065,0.1359,0.0576
nongkrong taman  kena imbas ppkm banci                                 ,1,0,0.9916,0.0069,0.0015
mengira soal panjang memanjang ppkm                                   ,1,0,0.7735,0.1631,0.0635
halo ppkm jadinya iya diperpanjang ketinggalan berita kemarin seharian                               ,1,0,0.6759,0.2681,0.0559
ppkm wfh pagi  enaknya merem meneh inimah                                ,2,0,0.9664,0.0248,0.0089
ppkm perpanjang panjang mentok rahim                                   ,1,0,0.5316,0.3651,0.1034
amin sih diperpanjang ppkm                                    ,0,1,0.099,0.8232,0.0778
bapak ai kakak perempuan kegiatan ppkm teh katanya gaboleh kegiatan  jauh jauh mah maskernya pakai masker  untuk  pak tolong pak                 ,0,1,0.1853,0.626,0.1887
becuk lambat gara gara ppkm iya                                  ,1,0,0.4464,0.3873,0.1664
lockdown sih  ppkm sih kalo indonesia  ppkm warung makan buka makan disitu dibungkus jadi pedagang ribut sih lihat                    ,1,0,0.9763,0.0163,0.0074
ohiya pas ppkm isoman keluarga serumah positif ramai warung pasar nitip jualan nya temannya                          ,0,1,0.0398,0.9367,0.0234
 dosen dosen menekankan memberatkan mahasiswa situasi ppkm kayak panitia beri kelonggaran tugasnya diperketat                          ,1,0,0.9716,0.02,0.0084
kangen banget tinggal bogor  emak pemandangan kena ppkm                               ,1,0,0.8229,0.1161,0.061
eh tdinya ksna kemarin mbak iya gak iso naik krl ppkm diperpanjang                            ,0,1,0.0432,0.9303,0.0264
ppkm meet up bareng bareng musim covid                                 ,0,1,0.0552,0.9157,0.0291
ppkm jarang keluar rumah nolep                                   ,1,0,0.8278,0.1128,0.0594
jalan ditutup ppkm                                     ,0,1,0.4037,0.4505,0.1458
etdah perasaan menfe jelasin deh tanya bolak balik ketik pencarian kedirife terus masukkan cari misal kedirife ppkm entar muncul tanya bolak balik woi heran                ,1,0,0.7397,0.2068,0.0535
bismillah kemarau kemarau kemarin dipikirkan hujan cara antisipasi hujan inshaallah kemarau dipikirkan ganti ppkm kopid                         ,1,0,0.4846,0.4344,0.0809
lelah lelah nge  ulti level duluan ppkm                                ,1,0,0.4309,0.4113,0.1578
sahabat  menunggu waktu tepat  berani  tunggu ppkm selesai iya selamat pagi                          ,1,2,0.2091,0.4144,0.3765
terima kasih pak terlambat ppkm darurat berjalan minggu baik terlambat                              ,2,0,0.9423,0.0408,0.0169
berangkat eh ppkm                                     ,0,1,0.1975,0.7052,0.0973
ya penonton euro copa america lepas masker an enggak pakai masker bebas kayaknya indonesia pakai masker wfh ditambah ppkm darurat ah janc yekan                 ,0,1,0.2875,0.6011,0.1114
nusa penida kena ppkm nyebrang lewat pantai kusamba klungkung                               ,1,0,0.9415,0.044,0.0145
ppkm berhenti catatan tervaksin                                    ,1,0,0.5837,0.2761,0.1403
pergi jakarta untuk mengunjungi kakak meninggal ppkm terpaksa bertahan bekal habis ppkm perpanjang kira bantu iya biaar cepat pulamg                     ,0,1,0.1408,0.5626,0.2967
peraturan makan diwarung sesuai peraturan ppkm darurat  krj  mr   bawa bekal lho santai tempat khusus langsung  siang sederhana sehat pak               ,2,0,0.9955,0.0035,0.001
pagi dunia awali harimu ah ppkm diperpanjang                                 ,0,2,0.2589,0.3151,0.426
gubernur jawa barat ridwan kamil menyatakan pelaksanaan ppkm jawa barat berhasil ridwan kamil mengatakan keberhasilan  berdasarkan data                      ,2,1,0.0717,0.8477,0.0806
masalah kebijakan ppkm pusat mas jadi pemerintah daerah menjalankannya tinggal dilihat pelaksanaan warganya                           ,1,2,0.2293,0.3678,0.403
istilah ppkm china                                     ,1,0,0.9512,0.038,0.0108
tahu pekerjaan setuju ppkm                                    ,1,2,0.0901,0.1209,0.789
libur digeser ppkm diperpanjang what                                   ,0,1,0.2923,0.5932,0.1146
terpikirkan korea paham ppkm gaksih                                   ,1,0,0.8569,0.0982,0.0449
aah ppkm kayak ppkm sih daerah rumahku wkwk                                ,0,1,0.1642,0.7504,0.0854
menolak ppkm terus solusi nya                                   ,0,1,0.3354,0.5043,0.1603
kasihan bapak ppkm melayani tambal ban onlen                                 ,0,1,0.1839,0.7289,0.0872
toko mall tetap buka sih ppkm daerah istimewa yogyakarta                               ,1,2,0.1352,0.1825,0.6823
hai sobat difa dikala ppkm difa menghadirkan fasilitas telekonsultasi untuk sahabat difa membutuhkan konsultasi datang klinik untuk tetap menampung keluhan sahabat difa rasakan                 ,2,1,0.1698,0.4781,0.352
ppkm udahan jadwal bulan juni kemarin jadi tunda terus                               ,0,1,0.1092,0.8367,0.0541
pemilik mall mah kena ppkm tabungannya bank untuk membuka lahan membangun mall cukup                           ,1,0,0.4472,0.4391,0.1137
mendagri meminta kepala daerah ragu terapkan ppkm darurat                                ,2,0,0.464,0.2979,0.2381
ngikuti pemerintah ppkm level                                    ,1,0,0.4934,0.2651,0.2415
gara ppkm darurat lupa vonis eddy binur juliardi bansos                               ,0,2,0.1047,0.1485,0.7468
ppkm perpanjang terus maju nya iya                                  ,0,2,0.2976,0.3073,0.3951
ppkm seumur                                      ,1,0,0.8877,0.0833,0.029
benar melamar kerja jadi pejabat bebas no ppkm                                ,1,0,0.9914,0.0067,0.0019
lupa banget hari ppkm                                    ,1,2,0.1993,0.3066,0.4941
plongo dibilang situasi ppkm cases covid terkerdali tuan manggut manggut setuju baca data sekecil plongo menganalisa terkendali                       ,0,2,0.3316,0.1195,0.5488
hari hari ppkm terus ngapa sedang apa memikirkan terus ara dirumah                             ,1,0,0.6686,0.2118,0.1195
baru  ppkm nya idul adha                                  ,1,0,0.6025,0.2761,0.1214
gara ppkm sim salabim markidud                                   ,0,1,0.1238,0.7867,0.0895
ppkm banget sadar pacar duluan putus                                  ,1,0,0.778,0.1494,0.0725
panjang keras tahan susah ppkm                                   ,0,1,0.3105,0.5519,0.1376
dikorbankan bung disembelih untuk jadi tumbal ppkm darurat diperpanjang                               ,0,1,0.2885,0.5099,0.2016
hai kang terima kasih memberi kesempatan berikut produk baru release   ppkm darurat                          ,1,2,0.2252,0.3065,0.4683
kepala bnpb meninjau posko ppkm selter covid sleman                                ,1,0,0.8214,0.1304,0.0482
pemerintah menerapkan kebijakan mempertimbangkan bantu rakyat gasemua rakyat kayak gasemua rakyat beli makan sehari hari dibantu lihat orang dagang ngeluh ppkm jadi gbsa dagang dagang gacukup kerja ngatasin pandemi           ,2,0,0.9927,0.0039,0.0034
untung ppkm diperpanjang  bakar nu                                  ,1,2,0.1044,0.1418,0.7538
setan be like jobdesc ppkm                                   ,1,0,0.6514,0.1767,0.1719
libur minggu jadi tahun percaya ppkm selesai                                 ,0,1,0.1765,0.6938,0.1297
terjadi  pemahaman ppkm darurat ppkm darurat lockdown indonesia menerapkan lockdown                             ,1,0,0.4695,0.3829,0.1476
ppkm nya hilang                                     ,1,0,0.4132,0.339,0.2477
iya peluang macet akibat ppkm pengendara iya menciptakan petugas jadi penonton                             ,1,0,0.9941,0.0047,0.0012
menjadi seseorang alamualaikum semangad pagi doain ya rencana banten belajar debus makan paku kawat jaga ppkm selamat aktifitas ya                     ,0,2,0.1508,0.3075,0.5416
terus ppkm lv                                     ,0,2,0.2352,0.3661,0.3986
untungnya ppkm  sehari datang nikahan                                  ,2,0,0.4585,0.2032,0.3383
ppkm penista mampoes                                     ,0,1,0.2265,0.6436,0.1299
ppkm levelnya harapkan rakyat presiden  berpikir situasi serba sulit sebaiknya  pemimpin negara berhasil keluar pandemi                       ,1,0,0.9823,0.0102,0.0074
ppkm                                       ,0,1,0.2063,0.6576,0.1361
hai kak mohon maaf ya infoin untuk pengiriman  ppkm yuk infoin  nomor  bantu cek terima kasih ub                    ,0,1,0.0951,0.8064,0.0985
 lion air iya om ditindak  pelanggaran ppkm                               ,1,0,0.9653,0.0268,0.0079
salah panitianya perangkat desa sosialisasi ppkm                                  ,0,2,0.1977,0.1636,0.6388
mulai berlaku iya ppkm darurat hari semoga  angka positif terus naik kurang sih dua minggu mesti sebulan satu setengah bulan baru efektif dampaknya                ,2,0,0.8341,0.0974,0.0685
impian sih impian tahu kondisi saudara laki laki ppkm                               ,0,2,0.0115,0.0219,0.9665
pas awal ppkm jajan wajib take away makan situ sepi banget waktu wkakwak                           ,1,0,0.9034,0.0669,0.0297
ppkm darurat lip service basa basi pemerintah olah peduli keselamatan warga negara                            ,0,2,0.05,0.0908,0.8592
ppkm pelan pelan membaik                                    ,2,1,0.0664,0.859,0.0746
 terus iya ppkm samar lanjutkan udah tanggal                                ,2,1,0.4189,0.454,0.1272
hari pertama ppkm rebahan hari kedua ppkm rebahan hari ketiga ppkm rebahan kerjaannya rebahan kontribusi pmerintah                        ,1,2,0.211,0.2091,0.5799
mengayuh sepeda virtual hari diundur ppkm darurat mancal minggu pagi solo ride blusukan sawah kampung tetap berolahraga imun vitalitas                     ,2,0,0.5962,0.2704,0.1334
main tebak tebakan ppkm kelar                                   ,1,0,0.6862,0.2603,0.0534
besok mulai ppkm mengajak ngemall cafe gitu hari                                ,1,0,0.9528,0.0362,0.0109
solat ied ppkm iya malas sih                                  ,1,0,0.5404,0.3318,0.1278
ppkm pak salam  beres                                   ,0,1,0.0261,0.9599,0.014
sepi iya gara gara ppkm                                   ,1,0,0.5925,0.2339,0.1736
ppkm efektif nurunin kasus covid iya deh diperpanjang hidup normal iya mas                            ,2,0,0.5221,0.2898,0.1881
bau bau ppkm jilid dua nih                                  ,1,0,0.9089,0.0667,0.0244
